idclient,Adhesion,status,segment,Genre,Naissance,Children,Profession,Habitat,C_sms,C_email,C_mail
1785742,09/04/2010,Club,NON JARDIN,MONSIEUR,31/12/1899,,Empl Ouv,maison,1,1,1
1785920,10/04/2010,Club,INACTIF,MADAME,31/12/1899,NON,Autres,maison,0,1,1
1786181,10/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,Entrepreneurs,maison,0,0,1
1786209,10/04/2010,VIP,JARDIN,MONSIEUR,24/08/1962,,,maison,0,0,1
1786712,10/04/2010,VIP,JARDIN,MADAME,31/12/1899,,,maison,0,0,1
1786757,10/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Autres,maison,0,0,1
1786956,10/04/2010,Club,INACTIF,MADAME,09/09/1956,OUI,Cadre et prof libs moyens,maison,0,1,1
1787337,10/04/2010,Club,NON JARDIN,MONSIEUR,22/12/1975,OUI,Empl Ouv,maison,1,1,1
1787635,10/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Entrepreneurs,maison,1,1,1
1802403,25/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,0
1802412,25/04/2010,Club,JARDIN,MADAME,18/04/1957,OUI,Empl Ouv,maison,0,0,1
1803390,26/04/2010,Club,INACTIF,MADAME,14/06/1952,OUI,Entrepreneurs,maison,0,1,1
1803651,27/04/2010,Club,INACTIF,MONSIEUR,03/09/1937,,Retraités,maison,0,0,1
1804091,27/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,0
1804175,27/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1804487,28/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Inactif,Appartement,0,0,1
1804515,28/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1804708,28/04/2010,VIP,JARDIN,MADAME,13/04/1963,OUI,Cadre et prof libs moyens,maison,0,1,1
1804825,28/04/2010,Club,BON-DIVERSITE,MONSIEUR,31/12/1899,,,maison,1,1,1
1805232,29/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,NON,Retraités,maison,1,1,1
1805276,29/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,Autres,maison,0,0,1
1805378,29/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1805493,29/04/2010,Club,NON JARDIN,MONSIEUR,31/12/1899,,,maison,0,0,1
1805813,30/04/2010,Club,INACTIF,MONSIEUR,11/12/1966,OUI,Empl Ouv,maison,0,0,1
1806155,30/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1807420,01/05/2010,Club,INACTIF,MADAME,31/12/1899,,Entrepreneurs,maison,0,0,1
1815649,13/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,,0,0,0
1815779,13/05/2010,Club,NON JARDIN,MONSIEUR,31/12/1899,OUI,Cadre et prof lib,maison,0,0,1
1815940,13/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Entrepreneurs,maison,0,1,1
1815950,13/05/2010,Club,NON JARDIN,MADAME,31/12/1899,,,maison,0,1,1
1816197,14/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Empl Ouv,maison,0,1,1
1816388,14/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1816517,14/05/2010,Club,JARDIN,MONSIEUR,31/12/1899,OUI,Retraités,maison,0,0,1
1817375,15/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,,0,0,1
1817681,15/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1817856,15/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,Entrepreneurs,maison,0,0,1
1817995,15/05/2010,Club,INACTIF,MONSIEUR,21/07/1977,OUI,Autres,maison,0,0,1
1818305,16/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1818611,16/05/2010,Club,NON JARDIN,MONSIEUR,31/12/1899,OUI,Empl Ouv,maison,0,0,1
1819112,17/05/2010,Club,ANIMALERIE,MADAME,29/03/1960,OUI,Cadre et prof lib,maison,1,1,1
1808154,02/05/2010,Club,INACTIF,MADAME,03/10/1970,,Autres,maison,1,1,1
1808229,02/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Entrepreneurs,maison,0,1,1
1808440,02/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,NON,Empl Ouv,Appartement,1,1,1
1808867,03/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1809370,03/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,Cadre et prof lib,Appartement,0,0,0
1810140,05/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Empl Ouv,maison,1,0,0
1810631,06/05/2010,Club,INACTIF,MONSIEUR,28/09/1982,NON,Etudiant,Appartement,0,0,1
1810693,06/05/2010,Club,JARDIN,MONSIEUR,31/12/1899,,,maison,0,0,1
1810760,06/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,Retraités,maison,0,0,0
1810918,07/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,,0,1,1
1810949,07/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,NON,Cadre et prof libs moyens,maison,0,0,1
1811489,08/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,NON,Retraités,maison,0,1,1
1812015,08/05/2010,Club,INACTIF,MONSIEUR,23/12/1964,OUI,,maison,1,1,1
1812252,08/05/2010,Club,INACTIF,MONSIEUR,31/12/1899,OUI,Retraités,Appartement,0,0,1
1788716,11/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,NON,Autres,Appartement,0,1,0
1789051,12/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,1,1
1789348,12/04/2010,Club,ANIMALERIE,MONSIEUR,31/12/1899,OUI,Entrepreneurs,maison,1,1,1
1789786,13/04/2010,Club,INACTIF,MADAME,14/07/1971,OUI,Inactif,maison,0,1,1
1790018,13/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1790452,14/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1790806,14/04/2010,Club,JARDIN,MONSIEUR,31/12/1899,,,,0,0,0
1790909,14/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
1791453,15/04/2010,Club,INACTIF,MONSIEUR,31/12/1899,,,maison,0,0,1
